drug,pathway,Rxn_per_pathway
Chlorogenic acid_removed_unused_genes,"Hippurate metabolism",0
Chlorogenic acid_removed_unused_genes,"Histidine metabolism",0.571428571428571
Chlorogenic acid_removed_unused_genes,"Hyaluronan metabolism",0
Chlorogenic acid_removed_unused_genes,"Inositol phosphate metabolism",0.338461538461538
Chlorogenic acid_removed_unused_genes,"Keratan sulfate degradation",0
Chlorogenic acid_removed_unused_genes,"Keratan sulfate synthesis",0
Chlorogenic acid_removed_unused_genes,"Leukotriene metabolism",0.25
Chlorogenic acid_removed_unused_genes,"Limonene and pinene degradation",0
Chlorogenic acid_removed_unused_genes,"Linoleate metabolism",0.777777777777778
Chlorogenic acid_removed_unused_genes,"Lipoate metabolism",0
Chlorogenic acid_removed_unused_genes,"Lysine metabolism",0.32258064516129
Chlorogenic acid_removed_unused_genes,"Methionine and cysteine metabolism",0.391304347826087
Chlorogenic acid_removed_unused_genes,"Miscellaneous",0.309210526315789
Chlorogenic acid_removed_unused_genes,"N-glycan degradation",0
Chlorogenic acid_removed_unused_genes,"N-glycan metabolism",0.166666666666667
Chlorogenic acid_removed_unused_genes,"N-glycan synthesis",0.0555555555555556
Chlorogenic acid_removed_unused_genes,"NAD metabolism",0.222222222222222
Chlorogenic acid_removed_unused_genes,"Nucleotide interconversion",0.524390243902439
Chlorogenic acid_removed_unused_genes,"Nucleotide metabolism",0
Chlorogenic acid_removed_unused_genes,"Nucleotide salvage pathway",0.666666666666667
Chlorogenic acid_removed_unused_genes,"Nucleotide sugar metabolism",0
Chlorogenic acid_removed_unused_genes,"O-glycan metabolism",0
Chlorogenic acid_removed_unused_genes,"Oxidative phosphorylation",0.7
Chlorogenic acid_removed_unused_genes,"Pentose phosphate pathway",0.268292682926829
Chlorogenic acid_removed_unused_genes,"Peptide metabolism",0
Chlorogenic acid_removed_unused_genes,"Phenylalanine metabolism",0.222222222222222
Chlorogenic acid_removed_unused_genes,"Phosphatidylinositol phosphate metabolism",0.05
Chlorogenic acid_removed_unused_genes,"Propanoate metabolism",0.666666666666667
Chlorogenic acid_removed_unused_genes,"Protein formation",0
Chlorogenic acid_removed_unused_genes,"Purine catabolism",0.294117647058824
Chlorogenic acid_removed_unused_genes,"Purine synthesis",0.733333333333333
Chlorogenic acid_removed_unused_genes,"Pyrimidine catabolism",0.176470588235294
Chlorogenic acid_removed_unused_genes,"Pyrimidine synthesis",0.333333333333333
Chlorogenic acid_removed_unused_genes,"Pyruvate metabolism",0.40625
Chlorogenic acid_removed_unused_genes,"R group synthesis",0.166666666666667
Chlorogenic acid_removed_unused_genes,"ROS detoxification",0.857142857142857
Chlorogenic acid_removed_unused_genes,"Sphingolipid metabolism",0.172932330827068
Chlorogenic acid_removed_unused_genes,"Squalene and cholesterol synthesis",0.2
Chlorogenic acid_removed_unused_genes,"Starch and sucrose metabolism",0.0476190476190476
Chlorogenic acid_removed_unused_genes,"Steroid metabolism",0.155555555555556
Chlorogenic acid_removed_unused_genes,"Taurine and hypotaurine metabolism",0
Chlorogenic acid_removed_unused_genes,"Tetrahydrobiopterin metabolism",0.166666666666667
Chlorogenic acid_removed_unused_genes,"Thiamine metabolism",0
Chlorogenic acid_removed_unused_genes,"Transport, endoplasmic reticular",0.279620853080569
Chlorogenic acid_removed_unused_genes,"Transport, extracellular",0.0448717948717949
Chlorogenic acid_removed_unused_genes,"Transport, golgi apparatus",0.153061224489796
Chlorogenic acid_removed_unused_genes,"Transport, lysosomal",0.257142857142857
Chlorogenic acid_removed_unused_genes,"Transport, mitochondrial",0.247240618101545
Chlorogenic acid_removed_unused_genes,"Transport, nuclear",0.23943661971831
Chlorogenic acid_removed_unused_genes,"Transport, peroxisomal",0.220779220779221
Chlorogenic acid_removed_unused_genes,"Triacylglycerol synthesis",0.444444444444444
Chlorogenic acid_removed_unused_genes,"Tryptophan metabolism",0.333333333333333
Chlorogenic acid_removed_unused_genes,"Tyrosine metabolism",0.311827956989247
Chlorogenic acid_removed_unused_genes,"Ubiquinone synthesis",0
Chlorogenic acid_removed_unused_genes,"Urea cycle",0.225
Chlorogenic acid_removed_unused_genes,"Valine, leucine, and isoleucine metabolism",0.422222222222222
Chlorogenic acid_removed_unused_genes,"Vitamin A metabolism",0
Chlorogenic acid_removed_unused_genes,"Vitamin B12 metabolism",0
Chlorogenic acid_removed_unused_genes,"Vitamin B2 metabolism",0.333333333333333
Chlorogenic acid_removed_unused_genes,"Vitamin B6 metabolism",0
Chlorogenic acid_removed_unused_genes,"Vitamin C metabolism",0.3
Chlorogenic acid_removed_unused_genes,"Vitamin D metabolism",0
Chlorogenic acid_removed_unused_genes,"Vitamin E metabolism",0.4
Chlorogenic acid_removed_unused_genes,"Xenobiotics metabolism",0
Cholic acid_removed_unused_genes,"Alanine and aspartate metabolism",0.230769230769231
Cholic acid_removed_unused_genes,"Alkaloid synthesis",0
Cholic acid_removed_unused_genes,"Aminosugar metabolism",0.46875
Cholic acid_removed_unused_genes,"Androgen and estrogen synthesis and metabolism",0.423076923076923
Cholic acid_removed_unused_genes,"Arachidonic acid metabolism",0.170731707317073
Cholic acid_removed_unused_genes,"Arginine and proline metabolism",0.3
Cholic acid_removed_unused_genes,"Beta-Alanine metabolism",0.4
Cholic acid_removed_unused_genes,"Bile acid synthesis",0.210810810810811
Cholic acid_removed_unused_genes,"Biotin metabolism",0
Cholic acid_removed_unused_genes,"Blood group synthesis",0
Cholic acid_removed_unused_genes,"Butanoate metabolism",0
Cholic acid_removed_unused_genes,"C5-branched dibasic acid metabolism",0.5
Cholic acid_removed_unused_genes,"Cholesterol metabolism",0.446280991735537
Cholic acid_removed_unused_genes,"Chondroitin sulfate degradation",0.568181818181818
Cholic acid_removed_unused_genes,"Chondroitin synthesis",0.8
Cholic acid_removed_unused_genes,"Citric acid cycle",0.7
Cholic acid_removed_unused_genes,"CoA catabolism",0
Cholic acid_removed_unused_genes,"CoA synthesis",0.0714285714285714
Cholic acid_removed_unused_genes,"Cytochrome metabolism",0
Cholic acid_removed_unused_genes,"D-alanine metabolism",0.333333333333333
Cholic acid_removed_unused_genes,"Dietary fiber binding",0
Cholic acid_removed_unused_genes,"Drug metabolism",0.075043630017452
Cholic acid_removed_unused_genes,"Eicosanoid metabolism",0.10752688172043
Cholic acid_removed_unused_genes,"Exchange/demand reaction",0.0604364857302742
Cholic acid_removed_unused_genes,"Fatty acid oxidation",0.331945889698231
Cholic acid_removed_unused_genes,"Fatty acid synthesis",0.836820083682008
Cholic acid_removed_unused_genes,"Folate metabolism",0.254237288135593
Cholic acid_removed_unused_genes,"Fructose and mannose metabolism",0.391304347826087
Cholic acid_removed_unused_genes,"Galactose metabolism",0.142857142857143
Cholic acid_removed_unused_genes,"Glutamate metabolism",0.3125
Cholic acid_removed_unused_genes,"Glutathione metabolism",0.5625
Cholic acid_removed_unused_genes,"Glycerophospholipid metabolism",0.193939393939394
Cholic acid_removed_unused_genes,"Glycine, serine, alanine, and threonine metabolism",0.25531914893617
Cholic acid_removed_unused_genes,"Glycolysis/gluconeogenesis",0.476190476190476
Cholic acid_removed_unused_genes,"Glycosphingolipid metabolism",0.183098591549296
Cholic acid_removed_unused_genes,"Glyoxylate and dicarboxylate metabolism",0.571428571428571
Cholic acid_removed_unused_genes,"Heme degradation",0
Cholic acid_removed_unused_genes,"Heme synthesis",0
Cholic acid_removed_unused_genes,"Heparan sulfate degradation",0
Cholic acid_removed_unused_genes,"Hippurate metabolism",0
Cholic acid_removed_unused_genes,"Histidine metabolism",0.571428571428571
Cholic acid_removed_unused_genes,"Hyaluronan metabolism",1
Cholic acid_removed_unused_genes,"Inositol phosphate metabolism",0.338461538461538
Cholic acid_removed_unused_genes,"Keratan sulfate degradation",0
Cholic acid_removed_unused_genes,"Keratan sulfate synthesis",0
Cholic acid_removed_unused_genes,"Leukotriene metabolism",0.125
Cholic acid_removed_unused_genes,"Limonene and pinene degradation",0
Cholic acid_removed_unused_genes,"Linoleate metabolism",0.111111111111111
Cholic acid_removed_unused_genes,"Lipoate metabolism",0
Cholic acid_removed_unused_genes,"Lysine metabolism",0.32258064516129
Cholic acid_removed_unused_genes,"Methionine and cysteine metabolism",0.369565217391304
Cholic acid_removed_unused_genes,"Miscellaneous",0.296052631578947
Cholic acid_removed_unused_genes,"N-glycan degradation",0
Cholic acid_removed_unused_genes,"N-glycan metabolism",0.166666666666667
Cholic acid_removed_unused_genes,"N-glycan synthesis",0.0555555555555556
Cholic acid_removed_unused_genes,"NAD metabolism",0.222222222222222
Cholic acid_removed_unused_genes,"Nucleotide interconversion",0.542682926829268
Cholic acid_removed_unused_genes,"Nucleotide metabolism",0
Cholic acid_removed_unused_genes,"Nucleotide salvage pathway",0.666666666666667
Cholic acid_removed_unused_genes,"Nucleotide sugar metabolism",0
Cholic acid_removed_unused_genes,"O-glycan metabolism",0
Cholic acid_removed_unused_genes,"Oxidative phosphorylation",0.8
Cholic acid_removed_unused_genes,"Pentose phosphate pathway",0.195121951219512
Cholic acid_removed_unused_genes,"Peptide metabolism",0
Cholic acid_removed_unused_genes,"Phenylalanine metabolism",0.222222222222222
Cholic acid_removed_unused_genes,"Phosphatidylinositol phosphate metabolism",0.05
Cholic acid_removed_unused_genes,"Propanoate metabolism",0.8
Cholic acid_removed_unused_genes,"Protein formation",0
Cholic acid_removed_unused_genes,"Purine catabolism",0.235294117647059
Cholic acid_removed_unused_genes,"Purine synthesis",0.733333333333333
Cholic acid_removed_unused_genes,"Pyrimidine catabolism",0.205882352941176
Cholic acid_removed_unused_genes,"Pyrimidine synthesis",0.380952380952381
Cholic acid_removed_unused_genes,"Pyruvate metabolism",0.375
Cholic acid_removed_unused_genes,"R group synthesis",0.166666666666667
Cholic acid_removed_unused_genes,"ROS detoxification",0.857142857142857
Cholic acid_removed_unused_genes,"Sphingolipid metabolism",0.278195488721804
Cholic acid_removed_unused_genes,"Squalene and cholesterol synthesis",0.2
Cholic acid_removed_unused_genes,"Starch and sucrose metabolism",0.0476190476190476
Cholic acid_removed_unused_genes,"Steroid metabolism",0.166666666666667
Cholic acid_removed_unused_genes,"Taurine and hypotaurine metabolism",0.25
Cholic acid_removed_unused_genes,"Tetrahydrobiopterin metabolism",0.166666666666667
Cholic acid_removed_unused_genes,"Thiamine metabolism",0
Cholic acid_removed_unused_genes,"Transport, endoplasmic reticular",0.199052132701422
Cholic acid_removed_unused_genes,"Transport, extracellular",0.0493966817496229
Cholic acid_removed_unused_genes,"Transport, golgi apparatus",0.193877551020408
Cholic acid_removed_unused_genes,"Transport, lysosomal",0.276190476190476
Cholic acid_removed_unused_genes,"Transport, mitochondrial",0.242825607064018
Cholic acid_removed_unused_genes,"Transport, nuclear",0.253521126760563
Cholic acid_removed_unused_genes,"Transport, peroxisomal",0.227272727272727
Cholic acid_removed_unused_genes,"Triacylglycerol synthesis",0.555555555555556
Cholic acid_removed_unused_genes,"Tryptophan metabolism",0.311111111111111
Cholic acid_removed_unused_genes,"Tyrosine metabolism",0.247311827956989
Cholic acid_removed_unused_genes,"Ubiquinone synthesis",0
Cholic acid_removed_unused_genes,"Urea cycle",0.25
Cholic acid_removed_unused_genes,"Valine, leucine, and isoleucine metabolism",0.2
Cholic acid_removed_unused_genes,"Vitamin A metabolism",0
Cholic acid_removed_unused_genes,"Vitamin B12 metabolism",0
Cholic acid_removed_unused_genes,"Vitamin B2 metabolism",0.333333333333333
Cholic acid_removed_unused_genes,"Vitamin B6 metabolism",0
Cholic acid_removed_unused_genes,"Vitamin C metabolism",0.2
Cholic acid_removed_unused_genes,"Vitamin D metabolism",0
Cholic acid_removed_unused_genes,"Vitamin E metabolism",0.4
Cholic acid_removed_unused_genes,"Xenobiotics metabolism",0
Cinnamaldehyde_removed_unused_genes,"Alanine and aspartate metabolism",0.307692307692308
Cinnamaldehyde_removed_unused_genes,"Alkaloid synthesis",0
Cinnamaldehyde_removed_unused_genes,"Aminosugar metabolism",0.40625
Cinnamaldehyde_removed_unused_genes,"Androgen and estrogen synthesis and metabolism",0.153846153846154
Cinnamaldehyde_removed_unused_genes,"Arachidonic acid metabolism",0.170731707317073
Cinnamaldehyde_removed_unused_genes,"Arginine and proline metabolism",0.25
Cinnamaldehyde_removed_unused_genes,"Beta-Alanine metabolism",0.4
Cinnamaldehyde_removed_unused_genes,"Bile acid synthesis",0.194594594594595
Cinnamaldehyde_removed_unused_genes,"Biotin metabolism",0
Cinnamaldehyde_removed_unused_genes,"Blood group synthesis",0
Cinnamaldehyde_removed_unused_genes,"Butanoate metabolism",0
Cinnamaldehyde_removed_unused_genes,"C5-branched dibasic acid metabolism",0.5
Cinnamaldehyde_removed_unused_genes,"Cholesterol metabolism",0.43801652892562
Cinnamaldehyde_removed_unused_genes,"Chondroitin sulfate degradation",0
Cinnamaldehyde_removed_unused_genes,"Chondroitin synthesis",0.444444444444444
Cinnamaldehyde_removed_unused_genes,"Citric acid cycle",0.7
Cinnamaldehyde_removed_unused_genes,"CoA catabolism",0
Cinnamaldehyde_removed_unused_genes,"CoA synthesis",0.0714285714285714
Cinnamaldehyde_removed_unused_genes,"Cytochrome metabolism",0
Cinnamaldehyde_removed_unused_genes,"D-alanine metabolism",0.333333333333333
Cinnamaldehyde_removed_unused_genes,"Dietary fiber binding",0
Cinnamaldehyde_removed_unused_genes,"Drug metabolism",0.075043630017452
Cinnamaldehyde_removed_unused_genes,"Eicosanoid metabolism",0.129032258064516
Cinnamaldehyde_removed_unused_genes,"Exchange/demand reaction",0.0548405148293229
Cinnamaldehyde_removed_unused_genes,"Fatty acid oxidation",0.343392299687825
Cinnamaldehyde_removed_unused_genes,"Fatty acid synthesis",0.849372384937239
Cinnamaldehyde_removed_unused_genes,"Folate metabolism",0.254237288135593
Cinnamaldehyde_removed_unused_genes,"Fructose and mannose metabolism",0.260869565217391
Cinnamaldehyde_removed_unused_genes,"Galactose metabolism",0.142857142857143
Cinnamaldehyde_removed_unused_genes,"Glutamate metabolism",0.375
Cinnamaldehyde_removed_unused_genes,"Glutathione metabolism",0.5
Cinnamaldehyde_removed_unused_genes,"Glycerophospholipid metabolism",0.193939393939394
Cinnamaldehyde_removed_unused_genes,"Glycine, serine, alanine, and threonine metabolism",0.25531914893617
Cinnamaldehyde_removed_unused_genes,"Glycolysis/gluconeogenesis",0.476190476190476
Cinnamaldehyde_removed_unused_genes,"Glycosphingolipid metabolism",0.197183098591549
Cinnamaldehyde_removed_unused_genes,"Glyoxylate and dicarboxylate metabolism",0.642857142857143
Cinnamaldehyde_removed_unused_genes,"Heme degradation",0.25
Cinnamaldehyde_removed_unused_genes,"Heme synthesis",0
Cinnamaldehyde_removed_unused_genes,"Heparan sulfate degradation",0
Cinnamaldehyde_removed_unused_genes,"Hippurate metabolism",0
Cinnamaldehyde_removed_unused_genes,"Histidine metabolism",0.285714285714286
Cinnamaldehyde_removed_unused_genes,"Hyaluronan metabolism",0
Cinnamaldehyde_removed_unused_genes,"Inositol phosphate metabolism",0.246153846153846
Cinnamaldehyde_removed_unused_genes,"Keratan sulfate degradation",0
Cinnamaldehyde_removed_unused_genes,"Keratan sulfate synthesis",0
Cinnamaldehyde_removed_unused_genes,"Leukotriene metabolism",0.125
Cinnamaldehyde_removed_unused_genes,"Limonene and pinene degradation",0
Cinnamaldehyde_removed_unused_genes,"Linoleate metabolism",0.777777777777778
Cinnamaldehyde_removed_unused_genes,"Lipoate metabolism",0
Cinnamaldehyde_removed_unused_genes,"Lysine metabolism",0.32258064516129
Cinnamaldehyde_removed_unused_genes,"Methionine and cysteine metabolism",0.347826086956522
Cinnamaldehyde_removed_unused_genes,"Miscellaneous",0.302631578947368
Cinnamaldehyde_removed_unused_genes,"N-glycan degradation",0
Cinnamaldehyde_removed_unused_genes,"N-glycan metabolism",0.166666666666667
Cinnamaldehyde_removed_unused_genes,"N-glycan synthesis",0.0555555555555556
Cinnamaldehyde_removed_unused_genes,"NAD metabolism",0.222222222222222
Cinnamaldehyde_removed_unused_genes,"Nucleotide interconversion",0.530487804878049
Cinnamaldehyde_removed_unused_genes,"Nucleotide metabolism",0
Cinnamaldehyde_removed_unused_genes,"Nucleotide salvage pathway",0.666666666666667
Cinnamaldehyde_removed_unused_genes,"Nucleotide sugar metabolism",0
Cinnamaldehyde_removed_unused_genes,"O-glycan metabolism",0
Cinnamaldehyde_removed_unused_genes,"Oxidative phosphorylation",0.7
Cinnamaldehyde_removed_unused_genes,"Pentose phosphate pathway",0.24390243902439
Cinnamaldehyde_removed_unused_genes,"Peptide metabolism",0
Cinnamaldehyde_removed_unused_genes,"Phenylalanine metabolism",0.194444444444444
Cinnamaldehyde_removed_unused_genes,"Phosphatidylinositol phosphate metabolism",0.025
Cinnamaldehyde_removed_unused_genes,"Propanoate metabolism",0.666666666666667
Cinnamaldehyde_removed_unused_genes,"Protein formation",0
Cinnamaldehyde_removed_unused_genes,"Purine catabolism",0.205882352941176
Cinnamaldehyde_removed_unused_genes,"Purine synthesis",0.733333333333333
Cinnamaldehyde_removed_unused_genes,"Pyrimidine catabolism",0.323529411764706
Cinnamaldehyde_removed_unused_genes,"Pyrimidine synthesis",0.333333333333333
Cinnamaldehyde_removed_unused_genes,"Pyruvate metabolism",0.375
Cinnamaldehyde_removed_unused_genes,"R group synthesis",0.166666666666667
Cinnamaldehyde_removed_unused_genes,"ROS detoxification",0.857142857142857
Cinnamaldehyde_removed_unused_genes,"Sphingolipid metabolism",0.172932330827068
Cinnamaldehyde_removed_unused_genes,"Squalene and cholesterol synthesis",0.2
Cinnamaldehyde_removed_unused_genes,"Starch and sucrose metabolism",0.0476190476190476
Cinnamaldehyde_removed_unused_genes,"Steroid metabolism",0.0666666666666667
Cinnamaldehyde_removed_unused_genes,"Taurine and hypotaurine metabolism",0.25
Cinnamaldehyde_removed_unused_genes,"Tetrahydrobiopterin metabolism",0.166666666666667
Cinnamaldehyde_removed_unused_genes,"Thiamine metabolism",0
Cinnamaldehyde_removed_unused_genes,"Transport, endoplasmic reticular",0.175355450236967
Cinnamaldehyde_removed_unused_genes,"Transport, extracellular",0.0422322775263952
Cinnamaldehyde_removed_unused_genes,"Transport, golgi apparatus",0.142857142857143
Cinnamaldehyde_removed_unused_genes,"Transport, lysosomal",0.19047619047619
Cinnamaldehyde_removed_unused_genes,"Transport, mitochondrial",0.236203090507726
Cinnamaldehyde_removed_unused_genes,"Transport, nuclear",0.253521126760563
Cinnamaldehyde_removed_unused_genes,"Transport, peroxisomal",0.207792207792208
Cinnamaldehyde_removed_unused_genes,"Triacylglycerol synthesis",0.555555555555556
Cinnamaldehyde_removed_unused_genes,"Tryptophan metabolism",0.333333333333333
Cinnamaldehyde_removed_unused_genes,"Tyrosine metabolism",0.32258064516129
Cinnamaldehyde_removed_unused_genes,"Ubiquinone synthesis",0
Cinnamaldehyde_removed_unused_genes,"Urea cycle",0.225
Cinnamaldehyde_removed_unused_genes,"Valine, leucine, and isoleucine metabolism",0.2
Cinnamaldehyde_removed_unused_genes,"Vitamin A metabolism",0
Cinnamaldehyde_removed_unused_genes,"Vitamin B12 metabolism",0
Cinnamaldehyde_removed_unused_genes,"Vitamin B2 metabolism",0.333333333333333
Cinnamaldehyde_removed_unused_genes,"Vitamin B6 metabolism",0
Cinnamaldehyde_removed_unused_genes,"Vitamin C metabolism",0.2
Cinnamaldehyde_removed_unused_genes,"Vitamin D metabolism",0
Cinnamaldehyde_removed_unused_genes,"Vitamin E metabolism",0.4
Cinnamaldehyde_removed_unused_genes,"Xenobiotics metabolism",0
Cinnamic acid_removed_unused_genes,"Alanine and aspartate metabolism",0.307692307692308
Cinnamic acid_removed_unused_genes,"Alkaloid synthesis",0
Cinnamic acid_removed_unused_genes,"Aminosugar metabolism",0.4375
Cinnamic acid_removed_unused_genes,"Androgen and estrogen synthesis and metabolism",0.153846153846154
Cinnamic acid_removed_unused_genes,"Arachidonic acid metabolism",0.170731707317073
Cinnamic acid_removed_unused_genes,"Arginine and proline metabolism",0.25
Cinnamic acid_removed_unused_genes,"Beta-Alanine metabolism",0.4
Cinnamic acid_removed_unused_genes,"Bile acid synthesis",0.113513513513514
Cinnamic acid_removed_unused_genes,"Biotin metabolism",0
Cinnamic acid_removed_unused_genes,"Blood group synthesis",0
Cinnamic acid_removed_unused_genes,"Butanoate metabolism",0
Cinnamic acid_removed_unused_genes,"C5-branched dibasic acid metabolism",0.5
Cinnamic acid_removed_unused_genes,"Cholesterol metabolism",0.442148760330579
Cinnamic acid_removed_unused_genes,"Chondroitin sulfate degradation",0.568181818181818
Cinnamic acid_removed_unused_genes,"Chondroitin synthesis",0.8
Cinnamic acid_removed_unused_genes,"Citric acid cycle",0.65
Cinnamic acid_removed_unused_genes,"CoA catabolism",0
Cinnamic acid_removed_unused_genes,"CoA synthesis",0.0714285714285714
Cinnamic acid_removed_unused_genes,"Cytochrome metabolism",0
Cinnamic acid_removed_unused_genes,"D-alanine metabolism",0.333333333333333
Cinnamic acid_removed_unused_genes,"Dietary fiber binding",0
Cinnamic acid_removed_unused_genes,"Drug metabolism",0.075043630017452
Cinnamic acid_removed_unused_genes,"Eicosanoid metabolism",0.129032258064516
Cinnamic acid_removed_unused_genes,"Exchange/demand reaction",0.0570789031897034
Cinnamic acid_removed_unused_genes,"Fatty acid oxidation",0.417273673257024
Cinnamic acid_removed_unused_genes,"Fatty acid synthesis",0.845188284518828
Cinnamic acid_removed_unused_genes,"Folate metabolism",0.542372881355932
Cinnamic acid_removed_unused_genes,"Fructose and mannose metabolism",0.391304347826087
Cinnamic acid_removed_unused_genes,"Galactose metabolism",0.142857142857143
Cinnamic acid_removed_unused_genes,"Glutamate metabolism",0.4375
Cinnamic acid_removed_unused_genes,"Glutathione metabolism",0.5
Cinnamic acid_removed_unused_genes,"Glycerophospholipid metabolism",0.193939393939394
Cinnamic acid_removed_unused_genes,"Glycine, serine, alanine, and threonine metabolism",0.276595744680851
Cinnamic acid_removed_unused_genes,"Glycolysis/gluconeogenesis",0.476190476190476
Cinnamic acid_removed_unused_genes,"Glycosphingolipid metabolism",0.183098591549296
Cinnamic acid_removed_unused_genes,"Glyoxylate and dicarboxylate metabolism",0.571428571428571
Cinnamic acid_removed_unused_genes,"Heme degradation",0.75
Cinnamic acid_removed_unused_genes,"Heme synthesis",0.473684210526316
Cinnamic acid_removed_unused_genes,"Heparan sulfate degradation",0
Cinnamic acid_removed_unused_genes,"Hippurate metabolism",0
Cinnamic acid_removed_unused_genes,"Histidine metabolism",0.285714285714286
Cinnamic acid_removed_unused_genes,"Hyaluronan metabolism",1
Cinnamic acid_removed_unused_genes,"Inositol phosphate metabolism",0.353846153846154
Cinnamic acid_removed_unused_genes,"Keratan sulfate degradation",0
Cinnamic acid_removed_unused_genes,"Keratan sulfate synthesis",0
Cinnamic acid_removed_unused_genes,"Leukotriene metabolism",0.125
Cinnamic acid_removed_unused_genes,"Limonene and pinene degradation",0
Cinnamic acid_removed_unused_genes,"Linoleate metabolism",0.777777777777778
Cinnamic acid_removed_unused_genes,"Lipoate metabolism",0
Cinnamic acid_removed_unused_genes,"Lysine metabolism",0.32258064516129
Cinnamic acid_removed_unused_genes,"Methionine and cysteine metabolism",0.347826086956522
Cinnamic acid_removed_unused_genes,"Miscellaneous",0.243421052631579
Cinnamic acid_removed_unused_genes,"N-glycan degradation",0
Cinnamic acid_removed_unused_genes,"N-glycan metabolism",0.333333333333333
Cinnamic acid_removed_unused_genes,"N-glycan synthesis",0.222222222222222
Cinnamic acid_removed_unused_genes,"NAD metabolism",0.222222222222222
Cinnamic acid_removed_unused_genes,"Nucleotide interconversion",0.548780487804878
Cinnamic acid_removed_unused_genes,"Nucleotide metabolism",0
Cinnamic acid_removed_unused_genes,"Nucleotide salvage pathway",0.666666666666667
Cinnamic acid_removed_unused_genes,"Nucleotide sugar metabolism",0
Cinnamic acid_removed_unused_genes,"O-glycan metabolism",0
Cinnamic acid_removed_unused_genes,"Oxidative phosphorylation",0.8
Cinnamic acid_removed_unused_genes,"Pentose phosphate pathway",0.195121951219512
Cinnamic acid_removed_unused_genes,"Peptide metabolism",0
Cinnamic acid_removed_unused_genes,"Phenylalanine metabolism",0.0555555555555556
Cinnamic acid_removed_unused_genes,"Phosphatidylinositol phosphate metabolism",0.05
Cinnamic acid_removed_unused_genes,"Propanoate metabolism",0.733333333333333
Cinnamic acid_removed_unused_genes,"Protein formation",0
Cinnamic acid_removed_unused_genes,"Purine catabolism",0.264705882352941
Cinnamic acid_removed_unused_genes,"Purine synthesis",0.666666666666667
Cinnamic acid_removed_unused_genes,"Pyrimidine catabolism",0.235294117647059
Cinnamic acid_removed_unused_genes,"Pyrimidine synthesis",0.333333333333333
Cinnamic acid_removed_unused_genes,"Pyruvate metabolism",0.375
Cinnamic acid_removed_unused_genes,"R group synthesis",0.166666666666667
Cinnamic acid_removed_unused_genes,"ROS detoxification",0.857142857142857
Cinnamic acid_removed_unused_genes,"Sphingolipid metabolism",0.180451127819549
Cinnamic acid_removed_unused_genes,"Squalene and cholesterol synthesis",0.2
Cinnamic acid_removed_unused_genes,"Starch and sucrose metabolism",0.0476190476190476
Cinnamic acid_removed_unused_genes,"Steroid metabolism",0.0444444444444444
Cinnamic acid_removed_unused_genes,"Taurine and hypotaurine metabolism",0.25
Cinnamic acid_removed_unused_genes,"Tetrahydrobiopterin metabolism",0.166666666666667
Cinnamic acid_removed_unused_genes,"Thiamine metabolism",0
Cinnamic acid_removed_unused_genes,"Transport, endoplasmic reticular",0.18957345971564
Cinnamic acid_removed_unused_genes,"Transport, extracellular",0.0433634992458522
Cinnamic acid_removed_unused_genes,"Transport, golgi apparatus",0.153061224489796
Cinnamic acid_removed_unused_genes,"Transport, lysosomal",0.342857142857143
Cinnamic acid_removed_unused_genes,"Transport, mitochondrial",0.23841059602649
Cinnamic acid_removed_unused_genes,"Transport, nuclear",0.253521126760563
Cinnamic acid_removed_unused_genes,"Transport, peroxisomal",0.207792207792208
Cinnamic acid_removed_unused_genes,"Triacylglycerol synthesis",0.555555555555556
Cinnamic acid_removed_unused_genes,"Tryptophan metabolism",0.355555555555556
Cinnamic acid_removed_unused_genes,"Tyrosine metabolism",0.150537634408602
Cinnamic acid_removed_unused_genes,"Ubiquinone synthesis",0
Cinnamic acid_removed_unused_genes,"Urea cycle",0.225
Cinnamic acid_removed_unused_genes,"Valine, leucine, and isoleucine metabolism",0.2
Cinnamic acid_removed_unused_genes,"Vitamin A metabolism",0
Cinnamic acid_removed_unused_genes,"Vitamin B12 metabolism",0
Cinnamic acid_removed_unused_genes,"Vitamin B2 metabolism",0.333333333333333
Cinnamic acid_removed_unused_genes,"Vitamin B6 metabolism",0
Cinnamic acid_removed_unused_genes,"Vitamin C metabolism",0
Cinnamic acid_removed_unused_genes,"Vitamin D metabolism",0
Cinnamic acid_removed_unused_genes,"Vitamin E metabolism",0
Cinnamic acid_removed_unused_genes,"Xenobiotics metabolism",0
Cinobufogenin_removed_unused_genes,"Alanine and aspartate metabolism",0.384615384615385
Cinobufogenin_removed_unused_genes,"Alkaloid synthesis",0
Cinobufogenin_removed_unused_genes,"Aminosugar metabolism",0.5625
Cinobufogenin_removed_unused_genes,"Androgen and estrogen synthesis and metabolism",0.192307692307692
Cinobufogenin_removed_unused_genes,"Arachidonic acid metabolism",0.170731707317073
Cinobufogenin_removed_unused_genes,"Arginine and proline metabolism",0.275
Cinobufogenin_removed_unused_genes,"Beta-Alanine metabolism",0.4
Cinobufogenin_removed_unused_genes,"Bile acid synthesis",0.2
Cinobufogenin_removed_unused_genes,"Biotin metabolism",0
Cinobufogenin_removed_unused_genes,"Blood group synthesis",0.170212765957447
Cinobufogenin_removed_unused_genes,"Butanoate metabolism",0
Cinobufogenin_removed_unused_genes,"C5-branched dibasic acid metabolism",0.5
